City,qualifying_schools,active_magnet_schools
Acampo,1,0
Adelanto,4,0
Aguanga,1,0
Alhambra,9,0
Allensworth,1,0
Angels Camp,1,0
Annapolis,1,0
Anza,1,0
Apple Valley,5,0
Arcadia,1,0
Arcata,1,0
Aromas,1,0
Arvin,2,0
Atherton,1,0
Bakersfield,4,0
Bangor,1,0
Bella Vista,1,0
Berry Creek,1,0
Big Bend,1,0
Big Pine,1,0
Blocksburg,1,0
Blue Lake,2,0
Blythe,3,0
Bridgeville,2,0
Burnt Ranch,1,0
Buttonwillow,1,0
Calente,1,0
California Hot Springs,1,0
Camino,1,0
Campo,1,0
Camptonville,1,0
Canoga Park,1,0
Cantua Creek,1,0
Carmichael,1,0
Carson,2,0
Caruthers,2,0
Castella,1,0
Chico,1,0
Chino,1,0
Chualar,1,0
Chula Vista,1,0
Citrus Heights,3,0
City of Commerce,1,0
Coarsegold,1,0
Colfax,1,0
Columbia,1,0
Compton,3,0
Corning,2,0
Corona,2,0
Cotati,1,0
Covina,1,0
Crescent City,1,0
Cudahy,1,0
Delano,2,0
Desert Center,1,0
Dinuba,1,0
Dorris,1,0
Ducor,1,0
Dunlap,1,0
Dunsmuir,1,0
East Nicolaus,1,0
East Palo Alto,2,0
El Cajon,2,0
El Centro,3,0
El Monte,7,0
El Nido,1,0
Emeryville,1,0
Fairfield,3,0
Five Points,1,0
Forks Of Salmon,1,0
French Camp,1,0
French Gulch,1,0
Fresno,11,0
Gazelle,1,0
Gerber,1,0
Gorman,1,0
Grenada,1,0
Groveland,1,0
Guerneville,1,0
Hacienda Heights,1,0
Hamilton City,1,0
Hanford,2,0
Hayfork,1,0
Hayward,2,0
Heber,1,0
Helm,1,0
Hemet,1,0
Herald,1,0
Hesperia,2,0
Hollister,1,0
Holtville,1,0
Hoopa,1,0
Hornbrook,1,0
Idyllwild,1,0
Igo,1,0
Imperial Beach,1,0
Inglewood,2,0
Jamestown,1,0
Junction City,1,0
Kettleman City,1,0
Kingsburg,1,0
La Grange,1,0
La Mesa,1,0
La Puente,4,0
Lake Elsinore,1,0
Lancaster,4,0
Lathrop,2,0
Laytonville,1,0
Le Grand,1,0
Leggett,1,0
Lemon Grove,2,0
Lemoore,1,0
Lewiston,1,0
Lindsay,6,0
Litchfield,1,0
Littlerock,2,0
Live Oak,1,0
Livermore,1,0
Lockeford,1,0
Lockwood,1,0
Lodi,1,0
Loleta,1,0
Lompoc,1,0
Lone Pine,1,0
Long Beach,5,0
Los Alamos,1,0
Los Angeles,21,0
Los Molinos,2,0
Lower Lake,1,0
Lucerne,1,0
Madera,5,0
Magalia,1,0
Manchester,1,0
Manteca,10,0
Manton,1,0
Marina Del Rey,1,0
Mariposa,2,0
Markleeville,1,0
Marysville,1,0
McClellan,1,0
McKittrick,1,0
Mccloud,1,0
Menlo Park,2,0
Meridian,1,0
Middletown,1,0
Modesto,3,0
Montague,3,0
Monte Rio,1,0
Monterey Park,3,0
Montgomery Creek,1,0
National City,2,0
Nevada City,3,0
New Cuyama,1,0
North Fork,1,0
North Highlands,4,0
North Hollywood,2,0
Novato,1,0
Oak Run,1,0
Oak View,1,0
Oakland,11,0
Oakley,1,0
Oceano,1,0
Oceanside,3,0
Ontario,3,0
Oregon House,1,0
Orick,1,0
Orland,1,0
Orleans,1,0
Oroville,1,0
Oxnard,7,0
Palmdale,7,0
Parlier,1,0
Pasadena,1,0
Paskenta,1,0
Patterson,1,0
Pauma Valley,1,0
Pearblossom,1,0
Pecwan,1,0
Penn Valley,1,0
Perris,1,0
Pescadero,1,0
Petaluma,1,0
Platina,1,0
Point Arena,1,0
Pomona,5,0
Pope Valley,1,0
Porterville,5,0
Potrero,1,0
Rainbow,1,0
Raisin City,1,0
Red Bluff,1,0
Redding,8,0
Redwood City,2,0
Reedley,2,0
Richgrove,1,0
Richmond,1,0
Ridgecrest,1,0
Rio Linda,1,0
Rio Oso,1,0
Ripon,1,0
Riverbank,1,0
Riverdale,1,0
Robbins,1,0
Sacramento,14,0
Samoa,1,0
San Ardo,1,0
San Bernardino,4,0
San Diego,16,0
San Francisco,6,0
San Joaquin,1,0
San Jose,11,0
San Juan Bautista,1,0
San Lucas,1,0
San Mateo,1,0
San Miguel,1,0
San Rafael,1,0
San Ysidro,1,0
Sanger,2,0
Santa Ana,5,0
Santa Maria,1,0
Santa Rosa,1,0
Santee,1,0
Sausalito,1,0
Scotia,1,0
Seaside,1,0
Seeley,1,0
Seiad Valley,1,0
Shafter,1,0
Shandon,1,0
Shasta Lake,1,0
Simi Valley,2,0
Smith River,1,0
Snelling,1,0
Solvang,1,0
Somes Bar,1,0
Somis,1,0
Sonora,2,0
South Gate,1,0
Stockton,50,0
Stratford,1,0
Strathmore,2,0
Sunnyvale,1,0
Sutter,1,0
Sylmar,1,0
Terra Bella,1,0
Thornton,1,0
Tipton,1,0
Tomales,1,0
Tracy,1,0
Tranquillity,1,0
Traver,1,0
Trinidad,2,0
Tulare,6,0
Tuolumne,1,0
Tupman,1,0
Twain Harte,1,0
Twin Peaks,1,0
Union City,1,0
Valinda,2,0
Vallejo,4,0
Ventura,1,0
Visalia,4,0
Wasco,2,0
Watsonville,2,0
Weaverville,1,0
Weed,2,0
Weldon,1,0
West Covina,1,0
West Sacramento,4,0
Westmorland,1,0
Whitmore,1,0
Whittier,1,0
Willow Creek,1,0
Wilmington,1,0
Windsor,1,0
Yermo,1,0
Yuba City,5,0
