Id,username,num_contribution
449752,whuber326,15163
1058083,Anony-Mousse908,862
424128,Benjamin014,400
489970,Christopher Aden545,283
3245994,garciaj752,260
3165544,Matt Reichenbach752,256
139304,Dougal170,199
1230790,Julius559,196
2439917,Avitus355,160
511570,Davide Giraudo962,148
1093643,random_user535,111
1612525,Mike464,88
22211,utdiscant186,86
145274,rhombidodecahedron816,78
1673250,sjm.majewski284,68
1557825,NG_21588,57
3407460,Steve721,44
4743076,j-kahn741,33
1617394,Philipp Burckhardt719,6
